Sample	TotalReads	TotalRatio	PolyAReads	PolyARatio	WithAdapterReads	AdapterRatio	UnambiguousReads	AmbiguousReads	UnambiguousFixedReads	MergedFullReads	MergedFullRatio	UmitoolsExtractReads	UmitoolsExtractRatio	MappedReads	MappedRatio	FilteredReads	FilteredRatio	ClipFilteredReads	ClipFilteredRatio
SRR13120810	13300743	1	8301672	0.6241509966774037	5416679	0.40724634706497226	741653	4675026	1546445	2288098	0.17202783333231836	2011555.0	0.15123628807804196	1470570	0.11056299636794727	1421751	0.10689259990964414	202723	0.015241479366979725
SRR13397411	8817862	1	3654181	0.41440668951271864	2275523	0.2580583592712156	484175	1791348	433430	917605	0.10406207309663046	636593.0	0.07219357708251728	401965	0.04558531308382916	391512	0.044399878337855594	50489	0.00572576436328897
SRR13397412	21460432	1	7110375	0.33132487733704524	4712573	0.21959357574908092	973453	3739120	906459	1879912	0.08759898216401235	1320277.0	0.061521454926909205	935065	0.04357158327474489	912846	0.0425362359900304	83276	0.0038804437860337575
SRR13397413	35786461	1	13463212	0.37620965090680525	10428716	0.291415124842884	2335689	8093027	2418211	4753900	0.13284074108361818	3742465.0	0.1045776781336383	2918696	0.08155866544054188	2827816	0.0790191575523492	334218	0.009339230274823767
SRR13397414	15628000	1	6197024	0.3965334015868953	4383288	0.28047658049654467	1118606	3264682	992452	2111058	0.1350817762989506	1505310.0	0.09632134630151011	1198238	0.07667251087791144	1112354	0.07117699001791657	98286	0.006289096493473253
SRR13509039	45218842	1	20471396	0.4527182717328321	15181249	0.33572838950630357	3407765	11773484	3660994	7068759	0.15632330876584588	5475143.0	0.12108100866448548	4516380	0.09987827640522064	4374061	0.09673093795723472	424636	0.00939068718301101
